Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
Montana,44,"118,775"
Nebraska,37,"206,113"
Nevada,35,"263,749"
New Hampshire,41,"144,283"
New Jersey,10,"975,875"
New Mexico,36,"207,592"
New York,4,"2,147,657"
North Carolina,9,"1,048,219"
North Dakota,47,"83,655"
Ohio,6,"1,513,814"
Oklahoma,25,"514,652"
Oregon,27,"425,303"
Pennsylvania,5,"1,755,797"
Rhode Island,42,"133,768"
South Carolina,24,"546,603"
South Dakota,46,"101,420"
Tennessee,12,"823,052"
Texas,3,"2,223,113"
Utah,38,"181,192"
Vermont,48,"73,354"
Virginia,13,"800,247"
Washington,17,"670,190"
West Virginia,34,"295,361"
Wisconsin,18,"658,024"
Wyoming,50,"59,399"
State,Rank of Deaths,Deaths
Alabama,19,"650,102"
Alaska,51,"46,983"
Arizona,20,"633,650"
Arkansas,30,"406,669"
California,1,"3,387,500"
Colorado,28,"412,448"
Connecticut,31,"396,286"
Delaware,45,"102,940"
District of Columbia,49,"66,205"
Florida,2,"2,381,013"
Georgia,11,"923,177"
Hawaii,43,"128,375"
Idaho,40,"150,900"
Illinois,7,"1,427,335"
Indiana,14,"789,471"
Iowa,32,"394,225"
Kansas,33,"336,526"
Kentucky,21,"587,771"
Louisiana,23,"573,285"
Maine,39,"176,120"
Maryland,22,"584,393"
Massachusetts,16,"725,736"
Michigan,8,"1,239,287"
Minnesota,26,"509,928"
Mississippi,29,"408,935"
Missouri,15,"788,585"
